id,similarity,fl_matriz,de_natureza_juridica,sg_uf,natureza_juridica_macro,de_ramo,setor,idade_empresa_anos,idade_emp_cat,fl_me,fl_sa,fl_epp,fl_mei,fl_ltda,dt_situacao,fl_st_especial,fl_email,fl_telefone,fl_rm,nm_divisao,nm_segmento,fl_spa,fl_antt,fl_veiculo,vl_total_tancagem,vl_total_veiculos_antt,vl_total_veiculos_leves,vl_total_veiculos_pesados,fl_optante_simples,qt_art,vl_total_veiculos_pesados_grupo,vl_total_veiculos_leves_grupo,vl_total_tancagem_grupo,vl_total_veiculos_antt_grupo,vl_potenc_cons_oleo_gas,fl_optante_simei,sg_uf_matriz,de_saude_tributaria,de_saude_rescencia,nu_meses_rescencia,de_nivel_atividade,de_indicador_telefone,fl_simples_irregular,vl_frota,empsetorcensitariofaixarendapopulacao,nm_meso_regiao,nm_micro_regiao,fl_passivel_iss,qt_socios,qt_socios_pf,qt_socios_pj,idade_media_socios,idade_maxima_socios,idade_minima_socios,qt_socios_st_regular,qt_socios_st_suspensa,qt_socios_masculino,qt_socios_feminino,qt_socios_pep,qt_alteracao_socio_total,qt_alteracao_socio_90d,qt_alteracao_socio_180d,qt_alteracao_socio_365d,qt_socios_pj_ativos,qt_socios_pj_nulos,qt_socios_pj_baixados,qt_socios_pj_suspensos,qt_socios_pj_inaptos,vl_idade_media_socios_pj,vl_idade_maxima_socios_pj,vl_idade_minima_socios_pj,qt_coligados,qt_socios_coligados,qt_coligados_matriz,qt_coligados_ativo,qt_coligados_baixada,qt_coligados_inapta,qt_coligados_suspensa,qt_coligados_nula,idade_media_coligadas,idade_maxima_coligadas,idade_minima_coligadas,coligada_mais_nova_ativa,coligada_mais_antiga_ativa,idade_media_coligadas_ativas,coligada_mais_nova_baixada,coligada_mais_antiga_baixada,idade_media_coligadas_baixadas,qt_coligados_sa,qt_coligados_me,qt_coligados_mei,qt_coligados_ltda,qt_coligados_epp,qt_coligados_norte,qt_coligados_sul,qt_coligados_nordeste,qt_coligados_centro,qt_coligados_sudeste,qt_coligados_exterior,qt_ufs_coligados,qt_regioes_coligados,qt_ramos_coligados,qt_coligados_industria,qt_coligados_agropecuaria,qt_coligados_comercio,qt_coligados_serviço,qt_coligados_ccivil,qt_funcionarios_coligados,qt_funcionarios_coligados_gp,media_funcionarios_coligados_gp,max_funcionarios_coligados_gp,min_funcionarios_coligados_gp,vl_folha_coligados,media_vl_folha_coligados,max_vl_folha_coligados,min_vl_folha_coligados,vl_folha_coligados_gp,media_vl_folha_coligados_gp,max_vl_folha_coligados_gp,min_vl_folha_coligados_gp,faturamento_est_coligados,media_faturamento_est_coligados,max_faturamento_est_coligados,min_faturamento_est_coligados,faturamento_est_coligados_gp,media_faturamento_est_coligados_gp,max_faturamento_est_coligados_gp,min_faturamento_est_coligados_gp,total_filiais_coligados,media_filiais_coligados,max_filiais_coligados,min_filiais_coligados,qt_coligados_atividade_alto,qt_coligados_atividade_medio,qt_coligados_atividade_baixo,qt_coligados_atividade_mt_baixo,qt_coligados_atividade_inativo,qt_coligadas,sum_faturamento_estimado_coligadas,de_faixa_faturamento_estimado,de_faixa_faturamento_estimado_grupo,vl_faturamento_estimado_aux,vl_faturamento_estimado_grupo_aux,qt_ex_funcionarios,qt_funcionarios_grupo,percent_func_genero_masc,percent_func_genero_fem,idade_ate_18,idade_de_19_a_23,idade_de_24_a_28,idade_de_29_a_33,idade_de_34_a_38,idade_de_39_a_43,idade_de_44_a_48,idade_de_49_a_53,idade_de_54_a_58,idade_acima_de_58,grau_instrucao_macro_analfabeto,grau_instrucao_macro_escolaridade_fundamental,grau_instrucao_macro_escolaridade_media,grau_instrucao_macro_escolaridade_superior,grau_instrucao_macro_desconhecido,total,meses_ultima_contratacaco,qt_admitidos_12meses,qt_desligados_12meses,qt_desligados,qt_admitidos,media_meses_servicos_all,max_meses_servicos_all,min_meses_servicos_all,media_meses_servicos,max_meses_servicos,min_meses_servicos,qt_funcionarios,qt_funcionarios_12meses,qt_funcionarios_24meses,tx_crescimento_12meses,tx_crescimento_24meses,tx_rotatividade,qt_filiais,lat,lon
73d224bab3cbde24705b7c32a5f7aec8a9d51dfccb04ee65158097be0d404a74,0.4986737,True,MUNICIPIO,AM,OUTROS,"ADMINISTRACAO PUBLICA, DEFESA E SEGURIDADE SOCIAL",SERVIÇO,35.62191780821918,> 20,False,False,False,False,False,2005-05-21,False,True,True,NAO,ADMINISTRACAO PUBLICA DEFESA E SEGURIDADE SOCIAL,ADMINISTRACAO PUBLICA DEFESA E SEGURIDADE SOCIAL,False,False,True,,,3.0,1.0,False,,1.0,3.0,,,,False,AM,AZUL,ACIMA DE 1 ANO,23.0,ALTA,,False,106201.0,904.44,CENTRO AMAZONENSE,MANAUS,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DE R$ 30.000.000,01 A R$ 100.000.000,00","DE R$ 30.000.000,01 A R$ 100.000.000,00",73925460.0,73925460.0,1217.0,540.0,41.85,58.15,,4.0,38.0,97.0,114.0,107.0,71.0,45.0,23.0,41.0,,26.0,405.0,109.0,,540.0,27.266666666666666,0.0,0.0,1219.0,1760.0,47.27043989381863,5014.966666666666,-10.4,99.05046210720869,436.06666666666666,31.33333333333333,541.0,541.0,862.0,0.0,-37.23897911832946,0.0,0,-3.1316333,-59.9825041
a907608ecd3dd3258b0069d72117436dd82d94884f95a8bceadb2f7fce90a5e0,0.4963025,True,MUNICIPIO,RO,OUTROS,"ADMINISTRACAO PUBLICA, DEFESA E SEGURIDADE SOCIAL",SERVIÇO,31.824657534246573,> 20,False,False,False,False,False,2005-10-14,False,False,False,NAO,ADMINISTRACAO PUBLICA DEFESA E SEGURIDADE SOCIAL,ADMINISTRACAO PUBLICA DEFESA E SEGURIDADE SOCIAL,False,False,True,,,36.0,20.0,False,6.0,20.0,36.0,,,,False,RO,VERDE,ACIMA DE 1 ANO,23.0,ALTA,,False,1704778.0,1172.2,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DE R$ 30.000.000,01 A R$ 100.000.000,00","DE R$ 30.000.000,01 A R$ 100.000.000,00",36267264.0,36267264.0,341.0,224.0,47.77,52.23,,1.0,16.0,27.0,27.0,41.0,44.0,25.0,23.0,20.0,,69.0,72.0,83.0,,224.0,24.2,0.0,0.0,341.0,565.0,589.0811209439529,5014.966666666666,0.5666666666666667,161.26964285714286,378.2,24.2,224.0,224.0,275.0,0.0,-18.545454545454547,0.0,1,-10.943145,-62.8277863
2c2f7dda053d52ec30c22e0c2b4407c4e723ef2e9b2c5de8b381b86cdad35b65,0.4963025,True,MUNICIPIO,RO,OUTROS,"ADMINISTRACAO PUBLICA, DEFESA E SEGURIDADE SOCIAL",SERVIÇO,26.723287671232878,> 20,False,False,False,False,False,2005-11-03,False,False,True,NAO,ADMINISTRACAO PUBLICA DEFESA E SEGURIDADE SOCIAL,ADMINISTRACAO PUBLICA DEFESA E SEGURIDADE SOCIAL,False,False,True,,,24.0,17.0,False,1.0,17.0,28.0,,,,False,RO,VERDE,ACIMA DE 1 ANO,23.0,ALTA,,False,1135763.0,1008.6,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DE R$ 30.000.000,01 A R$ 100.000.000,00","DE R$ 30.000.000,01 A R$ 100.000.000,00",57594890.0,57594890.0,218.0,278.0,44.96,55.04,,,5.0,25.0,38.0,69.0,48.0,40.0,20.0,33.0,,85.0,98.0,95.0,,278.0,28.16666666666667,0.0,0.0,218.0,496.0,155.556632996633,5014.966666666666,-0.16666666666666666,164.10599520383687,302.2,28.16666666666667,278.0,278.0,293.0,0.0,-5.119453924914675,0.0,2,-10.943145,-62.8277863
344543754ccf12734be09df11f1e949f8002beca385fa4602d14587bacfa4781,0.4963025,True,MUNICIPIO,RO,OUTROS,"ADMINISTRACAO PUBLICA, DEFESA E SEGURIDADE SOCIAL",SERVIÇO,30.271232876712325,> 20,False,False,False,False,False,2005-09-24,False,True,True,NAO,ADMINISTRACAO PUBLICA DEFESA E SEGURIDADE SOCIAL,ADMINISTRACAO PUBLICA DEFESA E SEGURIDADE SOCIAL,False,False,True,,,33.0,20.0,False,20.0,20.0,33.0,,,,False,RO,VERDE,ACIMA DE 1 ANO,23.0,ALTA,BOA,False,1095442.0,1058.2,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DE R$ 30.000.000,01 A R$ 100.000.000,00","DE R$ 30.000.000,01 A R$ 100.000.000,00",44458308.0,44458308.0,171.0,296.0,43.24,56.76,,8.0,15.0,27.0,41.0,39.0,50.0,47.0,34.0,35.0,,93.0,108.0,95.0,,296.0,29.3,0.0,0.0,171.0,469.0,149.3422885572139,5014.966666666666,-0.2,176.6860178970917,360.0,29.566666666666666,298.0,298.0,331.0,0.0,-9.969788519637458,0.0,2,-10.943145,-62.8277863
d884cfba9994e34f579a89059020c5473dbdcae296828e490b48af0194a07ea2,0.49580038,True,MUNICIPIO,RO,OUTROS,"ADMINISTRACAO PUBLICA, DEFESA E SEGURIDADE SOCIAL",SERVIÇO,31.019178082191786,> 20,False,False,False,False,False,2005-09-10,False,True,True,NAO,ADMINISTRACAO PUBLICA DEFESA E SEGURIDADE SOCIAL,ADMINISTRACAO PUBLICA DEFESA E SEGURIDADE SOCIAL,False,False,True,,,67.0,37.0,False,19.0,37.0,67.0,,,,False,RO,VERDE,ACIMA DE 1 ANO,23.0,ALTA,,False,3303724.0,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DE R$ 30.000.000,01 A R$ 100.000.000,00","DE R$ 30.000.000,01 A R$ 100.000.000,00",98395560.0,98395560.0,824.0,616.0,39.61,60.39,,3.0,22.0,69.0,99.0,115.0,103.0,86.0,60.0,59.0,,203.0,234.0,179.0,,616.0,23.7,0.0,0.0,824.0,1440.0,136.75383901646956,5014.966666666666,-11.2,158.95054112554124,375.23333333333335,23.7,616.0,616.0,696.0,0.0,-11.494252873563216,0.0,0,-10.943145,-62.8277863
c5c61fc0a8a4d7e4d0dc6b968ddade28c4649d5247fc2066c11ee99ff410855c,0.49521616,True,MUNICIPIO,RO,OUTROS,"ADMINISTRACAO PUBLICA, DEFESA E SEGURIDADE SOCIAL",SERVIÇO,26.49041095890411,> 20,False,False,False,False,False,2005-09-10,False,True,True,NAO,ADMINISTRACAO PUBLICA DEFESA E SEGURIDADE SOCIAL,ADMINISTRACAO PUBLICA DEFESA E SEGURIDADE SOCIAL,False,False,True,,,16.0,10.0,False,8.0,10.0,21.0,,,,False,RO,VERDE,ACIMA DE 1 ANO,23.0,ALTA,BOA,False,702905.0,985.19,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DE R$ 30.000.000,01 A R$ 100.000.000,00","DE R$ 30.000.000,01 A R$ 100.000.000,00",32197500.0,55173636.0,218.0,409.0,43.01,56.99,,,17.0,29.0,44.0,56.0,48.0,34.0,21.0,23.0,,82.0,77.0,113.0,,272.0,24.4,0.0,0.0,218.0,490.0,123.43762781186092,5014.966666666666,-5.066666666666666,148.94338235294114,374.23333333333335,25.23333333333333,272.0,272.0,311.0,0.0,-12.540192926045012,0.0,1,-10.943145,-62.8277863
8dc99e4edb4b968e7381d5d37b8af55c27eec858923817a1556392ce1bf05a2e,0.49502426,True,MUNICIPIO,RN,OUTROS,"ADMINISTRACAO PUBLICA, DEFESA E SEGURIDADE SOCIAL",SERVIÇO,43.846575342465755,> 20,False,False,False,False,False,2004-10-16,False,False,False,SIM,ADMINISTRACAO PUBLICA DEFESA E SEGURIDADE SOCIAL,ADMINISTRACAO PUBLICA DEFESA E SEGURIDADE SOCIAL,False,False,True,,,2.0,10.0,False,7.0,10.0,2.0,,,,False,RN,AZUL,ACIMA DE 1 ANO,23.0,ALTA,BOA,False,357833.0,365.3,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DE R$ 30.000.000,01 A R$ 100.000.000,00","DE R$ 30.000.000,01 A R$ 100.000.000,00",64291970.0,65221970.0,245.0,378.0,38.1,61.9,,,20.0,34.0,64.0,46.0,68.0,56.0,55.0,35.0,,73.0,182.0,123.0,,378.0,22.73333333333333,0.0,0.0,245.0,623.0,211.68282504012845,5014.966666666666,-0.4666666666666667,185.5670194003526,503.1,22.73333333333333,378.0,378.0,443.0,0.0,-14.67268623024831,0.0,1,-5.6781175,-36.4781776
69f771b9c8c6892f6d6d1baaf0784af74aadd0bea1bf37f10462b92b7c2fed85,0.49451506,True,MUNICIPIO,PI,OUTROS,"ADMINISTRACAO PUBLICA, DEFESA E SEGURIDADE SOCIAL",SERVIÇO,43.854794520547955,> 20,False,False,False,False,False,2005-10-22,False,False,False,SIM,ADMINISTRACAO PUBLICA DEFESA E SEGURIDADE SOCIAL,ADMINISTRACAO PUBLICA DEFESA E SEGURIDADE SOCIAL,False,False,True,,,4.0,4.0,False,,4.0,4.0,,,,False,PI,AZUL,ACIMA DE 1 ANO,23.0,ALTA,BOA,False,386237.0,728.97,CENTRO NORTE PIAUIENSE,TERESINA,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DE R$ 30.000.000,01 A R$ 100.000.000,00","DE R$ 30.000.000,01 A R$ 100.000.000,00",62746490.0,62746490.0,108.0,376.0,36.17,63.83,,2.0,13.0,34.0,66.0,73.0,59.0,53.0,39.0,37.0,,9.0,166.0,201.0,,376.0,28.3,0.0,0.0,108.0,484.0,141.3748102139407,499.16666666666674,5.1,151.22916666666669,470.6,28.3,376.0,376.0,425.0,0.0,-11.529411764705875,0.0,0,-5.1429275,-42.751587
8ecbdec73b7b8c4d89eb8e9eb7caf21d16851294d4daca94302234a13504b45e,0.49366242,True,MUNICIPIO,MA,OUTROS,"ADMINISTRACAO PUBLICA, DEFESA E SEGURIDADE SOCIAL",SERVIÇO,48.342465753424655,> 20,False,False,False,False,False,2005-11-03,False,False,False,NAO,ADMINISTRACAO PUBLICA DEFESA E SEGURIDADE SOCIAL,ADMINISTRACAO PUBLICA DEFESA E SEGURIDADE SOCIAL,False,False,True,,,0.0,4.0,False,5.0,4.0,0.0,,,,False,MA,VERDE,ACIMA DE 1 ANO,23.0,ALTA,BOA,False,113559.0,727.76,NORTE MARANHENSE,BAIXADA MARANHENSE,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DE R$ 30.000.000,01 A R$ 100.000.000,00","DE R$ 30.000.000,01 A R$ 100.000.000,00",71195110.0,71405110.0,91.0,752.0,37.5,62.5,,1.0,20.0,100.0,140.0,142.0,128.0,92.0,66.0,63.0,,10.0,569.0,173.0,,752.0,32.36666666666667,0.0,0.0,91.0,844.0,211.94034045922447,5014.966666666666,5.1,141.43466135458166,506.16666666666674,32.36666666666667,753.0,753.0,753.0,0.0,0.0,0.0,1,-3.7416367,-45.2514192
7439f14e03954c2a82546b23ffed0777fb72c1c1ce91b3d6dc5ae78a738808fc,0.49357975,True,MUNICIPIO,RO,OUTROS,"ADMINISTRACAO PUBLICA, DEFESA E SEGURIDADE SOCIAL",SERVIÇO,26.495890410958904,> 20,False,False,False,False,False,2004-12-11,False,True,False,NAO,ADMINISTRACAO PUBLICA DEFESA E SEGURIDADE SOCIAL,ADMINISTRACAO PUBLICA DEFESA E SEGURIDADE SOCIAL,False,False,True,,,8.0,7.0,False,14.0,7.0,8.0,,,,False,RO,VERDE,ACIMA DE 1 ANO,23.0,ALTA,BOA,False,593250.0,927.62,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DE R$ 30.000.000,01 A R$ 100.000.000,00","DE R$ 30.000.000,01 A R$ 100.000.000,00",39924900.0,39924900.0,231.0,245.0,42.86,57.14,,3.0,11.0,19.0,28.0,52.0,44.0,41.0,28.0,19.0,,70.0,90.0,85.0,,245.0,24.7,0.0,0.0,231.0,476.0,93.25028011204485,314.23333333333335,-7.2333333333333325,149.87115646258502,314.23333333333335,24.7,245.0,245.0,309.0,0.0,-20.71197411003236,0.0,0,-10.943145,-62.8277863
